title,name,day,count
"메가MGC커피, ‘가나디’ 협업 홀케이크 출시…“키링 굿즈 증정”",메가MGC커피,2025-12-03,226
"메가MGC커피, 10년 만에 매장 4000호점 돌파",메가MGC커피,2025-12-01,108
"메가MGC커피, 겨울 신메뉴 160만개 판매…전년비 3배 빨라",메가MGC커피,2025-11-27,89
"메가MGC커피, 라이즈(RIIZE) 쇼케이스 현장에 커피차 지원",메가MGC커피,2025-11-26,51
"여주쌀 신메뉴 75만개 판매 돌파…메가MGC커피, 이례적 판매 연장",메가MGC커피,2025-11-17,123
"메가MGC커피, SMGC 캠페인 마지막 주인공에 슈퍼주니어 낙점",메가MGC커피,2025-11-10,380
"메가MGC커피, 네이버 웹툰 '가비지타임' 협업…리매치 캠페인 오픈",메가MGC커피,2025-11-07,479
"메가MGC커피, '레트로' 감성 담은 겨울 신메뉴 5종 출시",메가MGC커피,2025-11-06,312
"메가MGC커피, RIIZE 컬래버 굿즈 '텀블러·빔카메라 키링' 출시",메가MGC커피,2025-10-23,483
"메가MGC커피, 라이즈 팬사인회서 굿즈 2종 공개",메가MGC커피,2025-10-21,270
"메가MGC커피, 컵빙수 뛰어넘은 '요거젤라또' 돌풍 한달새 160만개 팔려",메가MGC커피,2025-10-16,322
""알바생도 깜짝"…메가MGC커피 ‘요거젤라또’,4주만에 160만개 판매",메가MGC커피,2025-10-10,389
김대영 메가MGC커피 대표 "21년 인수 후 韓1위로 끌어올려…이제 美진출까지",메가MGC커피,2025-09-30,1061
외국인도 '휘둥그레'…명동 뒤흔든 진격의 '2000원 커피',메가MGC커피,2025-09-25,629
"메가MGC커피, '라이즈' 팬 사인회 응모 프리퀀시 진행",메가MGC커피,2025-09-19,581
'빙수 대란' 이어 또 대박…"무섭게 팔려" 직원도 놀란 신메뉴,메가MGC커피,2025-09-16,504
"메가MGC커피, 요거젤라또 초코베리믹스 60만개 판매 돌파",메가MGC커피,2025-09-15,773
"팥빙젤라또 대란 또?"... 메가MGC커피 알바생들 바짝 긴장하고 있는 '요아정st' 아이스크림 신메뉴,메가MGC커피,2025-09-10,929
메가MGC커피 화제 메뉴 '컵빙수' 넉 달새 900만개 팔렸다,메가MGC커피,2025-09-05,709
"메가MGC커피, 몽골 이어 캄보디아 진출…해외시장 공략 박차",메가MGC커피,2025-09-05,1025
"메가MGC커피, '라이즈'와 가을시즌 '청춘기록' 신메뉴 출시",메가MGC커피,2025-09-04,527
"메가MGC커피, SM엔터와 협업…차별화된 팬덤 마케팅 선도",메가MGC커피,2025-09-03,1359
"메가MGC커피, '2025 올해의 브랜드 대상' 카페프랜차이즈 부문 수상",메가MGC커피,2025-08-29,1937
"메가MGC커피, 국내 두 번째로 '알리페이' QR결제 도입",메가MGC커피,2025-08-29,1375
"외국 청년들, 메가MGC커피 본사 찾았다…'컵빙수' 인기 비결 직접 체험",메가MGC커피,2025-08-28,950
"'컵빙수'로 인기 끈 메가MGC커피, '4000호점' 앞두고 외형 확장 속도",메가MGC커피,2025-08-27,1054
"메가커피, '4000호점' 임박…고속 출점·수익성 동반 질주",메가MGC커피,2025-08-25,5907
"메가MGC커피, 여주시와 맞손…'대왕님표 여주쌀' 활용한 신메뉴 출시",메가MGC커피,2025-08-20,858
"메가MGC커피XRIIZE, 즐거움 가득한 ‘포토카드 스탬프 챌린지’",메가MGC커피,2025-08-14,1294
"팥빙젤라또 500만개 판매…메가MGC커피, '초코젤라또' 2종 출시",메가MGC커피,2025-08-07,1169
